,adress,house_type,biarea_msq,sold_price_kr,date_sold,price_diff_%,agent,size_msq,rooms,omrade,kommun,utgangspris_kr
1070,Kolonigatan 17,Villa,          90         ,3040000,2020-01-18,5,Svensk Fastighetsförmedling,124,5,Borås,Borås,2900000
1071,Lygnövägen 68,Villa,          49         ,3250000,2020-01-18,3,Länsförsäkringar Fastighetsförmedling,121,4,Alingsås,Alingsås,3150000
1072,Norrmannebo 540,Villa,          55         ,3420000,2020-01-17,27,Fastighetsbyrån,115,5,Norrmannebo,Kungälv,2700000
1073,Rävekullestigen 25,Bostadsrättsvilla,,1870000,2020-01-17,10,Fastighetsbyrån,112,4,Henån,Orust,1700000
1074,Hedeborgsgatan 3,Villa,          64         ,2500000,2020-01-17,15,Svensk Fastighetsförmedling,118,6,Kinna,Mark,2175000
1075,Aleslätten 141,Villa,          9         ,2775000,2020-01-17,-3,Fastighetsbyrån,141,6,Härryda,Härryda,2850000
1076,Buddeberg 503,Villa,          28         ,3500000,2020-01-17,0,Fastighetsbyrån,123,4,BUDDEBERG-FORSHÄLLA,Uddevalla,3500000
1077,Garnvägen 1,Villa,          78         ,2390000,2020-01-17,0,Länsförsäkringar Fastighetsförmedling,128,5,Sjuntorp,Trollhättan,2400000
1078,Gråstensvägen 11,Villa,          80         ,3150000,2020-01-17,9,Bjurfors,125,8,Kode,Kungälv,2900000
1079,Ellbovägen 9,Villa,          45         ,2150000,2020-01-17,10,ERA,94,4,Lilla Edet,Lilla Edet,1950000
1080,Höjdenvägen 140,Villa,          34         ,3650000,2020-01-17,4,Fastighetsbyrån,110,5,Höjden,Lerum,3500000
1081,Backavägen 1,Villa,,3300000,2020-01-16,14,Fastighetsbyrån,165,5,Skene,Mark,2900000
1082,Tostaredsvägen 20,Villa,          125         ,2200000,2020-01-16,11,Fastighetsbyrån,125,6,Fotskäl,Mark,1975000
1083,Öresjövägen 4,Villa,          142         ,2930000,2020-01-16,7,Fastighetsbyrån,111,8,Fristad,Borås,2750000
1084,Dillgatan 6,Villa,          13         ,3340000,2020-01-16,12,Fastighetsbyrån,138,5,Sörmarken,Borås,2975000
1085,Skäleryr 140,Villa,          138         ,3500000,2020-01-16,19,Fastighetsbyrån,103,6,Skäleryr-Uddevalla,Uddevalla,2950000
1086,Orgelvägen 34,Villa,          5         ,2220000,2020-01-16,35,Svensk Fastighetsförmedling,128,5,Uddevalla,Uddevalla,1650000
1087,Smedjegatan 16,Villa,,2800000,2020-01-16,12,SkandiaMäklarna,161,7,Tibro,Tibro,2500000
1088,Storgatan 56,Villa,          40         ,2550000,2020-01-16,16,Svensk Fastighetsförmedling,105,5,Dalsjöfors,Borås,2200000
1089,Lövgatan 13,Villa,          155         ,2250000,2020-01-16,-5,Länsförsäkringar Fastighetsförmedling,155,7,Herrljunga,Herrljunga,2375000
1090,Lars Andersgården 5,Villa,,1925000,2020-01-16,-4,Mäklarhuset,169,6,Vedum,Vara,2000000
1091,Vattenvägen 3,Villa,          96         ,3350000,2020-01-16,5,ERA,136,6,Skepplanda,Ale,3200000
1092,Östra Bräckekroken 10,Villa,          144         ,2450000,2020-01-15,7,Fastighetsbyrån,112,5,Hogstorp,Uddevalla,2300000
1093,Håvet Nedergården 3,Villa,          5         ,2450000,2020-01-15,11,Fastighetsbyrån,113,4,Sätila,Mark,2200000
1094,Slåttervägen 9,Villa,          60         ,2450000,2020-01-15,0,Svensk Fastighetsförmedling,170,6,Färgelanda,Färgelanda,2450000
1095,Håby 36,Villa,          32         ,2100000,2020-01-15,40,Länsförsäkringar Fastighetsförmedling,129,5,Håby,Munkedal,1500000
1096,Hörnetvägen 39,Villa,          33         ,3960000,2020-01-14,17,Fastighetsbyrån,115,4,Lindome | Hassungared,Mölndal,3375000
1097,Eklanda Törestorp,Villa,          5         ,2025000,2020-01-14,17,Fastighetsbyrån,111,5,Vårgårda Sydväst,Vårgårda,1725000
1098,Sveavägen 2A-B,Villa,,3750000,2020-01-14,32,Fastighetsbyrån,240,8,Centrum,Falköping,2850000
1099,Baldersvägen 7,Ej specificerad villa,          63         ,2650000,2020-01-14,7,Fastighetsbyrån,156,6,Sjuntorp,Trollhättan,2475000
1100,Norrgatan 11,Villa,          86         ,1900000,2020-01-14,15,Fastighetsbyrån,156,7,Tranemo,Tranemo,1650000
1101,Dammkärrsbacken 5,Friliggande villa,,1983375,2020-01-14,-60,Länsförsäkringar Fastighetsförmedling,102,4,Styrsö,Göteborg,4950000
1102,Svalörtsvägen 30,Villa,          8         ,2845000,2020-01-14,2,SkandiaMäklarna,113,6,Älvängen,Ale,2800000
1103,Backamo 402,Villa,          33         ,2200000,2020-01-13,-12,Bostadsbutiken,123,5,Backamo,Uddevalla,2500000
1104,Solfågelsvägen 11D,Villa,,4000000,2020-01-12,8,Svensk Fastighetsförmedling,155,5,Olofstorp,Göteborg,3700000
1105,Salebygatan 9,Villa,          131         ,2550000,2020-01-10,2,Bostada,101,5,Lidåker,Lidköping,2500000
1106,Torp 657,Villa,,2600000,2020-01-09,13,Fastighetsbyrån,147,5,Henån,Orust,2300000
1107,Tallmätargatan 2,Villa,,2840000,2020-01-09,6,Fastighetsbyrån,152,6,Fasseröd,Uddevalla,2675000
1108,Huveröd 130,Villa,,2700000,2020-01-09,-23,ERA,196,7,Svenshögen,Stenungsund,3500000
1109,Tussilagovägen 6,Villa,          87         ,2050000,2020-01-08,-3,Fastighetsbyrån,160,6,Dals-Rostock,Mellerud,2125000
1110,Svedgränd 6,Villa,          13         ,1800000,2020-01-08,33,Länsförsäkringar Fastighetsförmedling,82,4,Svaneholm,Borås,1350000
1111,Storgatan 37,Villa,          23         ,3000000,2020-01-08,1,ERA,125,4,Lilla Edet,Lilla Edet,2975000
1112,Mölnesjögatan 117,Villa,,3500000,2020-01-07,6,Fastighetsbyrån,141,5,Angered,Göteborg,3300000
1113,Lärkgatan 6,Friliggande villa,          25         ,3395000,2020-01-07,0,Svensk Fastighetsförmedling,126,6,Linneby,Uddevalla,3400000
1114,Karins väg 4,Villa,,3900000,2020-01-07,4,Mäklarhuset,120,4,Olofstorp,Göteborg,3750000
1115,Hantverkaregatan 27,Villa,"          47,7         ",2900000,2020-01-07,0,ERA,107,4,Lilla Edet,Lilla Edet,2900000
1116,Raneredsvägen 75,Villa,,2200000,2020-01-04,-11,Fastighetsbyrån,76,4,Lindome | Ranered,Mölndal,2475000
1117,Elsebergsgatan 11,Villa,          57         ,2695000,2020-01-03,-4,Fastighetsbyrån,134,6,Centrum,Uddevalla,2800000
1118,Opalvägen 10,Villa,          50         ,2900000,2020-01-03,4,Bjurfors,130,5,Kode,Kungälv,2800000
1119,Medelplana Rosensäter 1,Villa,          36         ,3450000,2020-01-03,-16,Broberg Mäkleri AB,180,6,Kinnekulle,Götene,4100000
1120,Fasangatan 30,Villa,          62         ,3700000,2020-01-02,-6,Svensk Fastighetsförmedling,114,5,Vårgårda Tätort,Vårgårda,3925000
1121,Hagtornsvägen 6,Villa,          105         ,2000000,2019-12-28,-5,Länsförsäkringar Fastighetsförmedling,108,6,Tanum,Tanum,2100000
1122,Ön 170,Villa,          84         ,3500000,2019-12-27,6,Fastighetsbyrån,120,5,Kareby,Kungälv,3300000
1123,Kuballe 101,Villa,          147         ,3600000,2019-12-27,9,Gofab Fastighetsbyrå,165,6,Kuballe,Tjörn,3300000
1124,Havsörnsvägen 1,Villa,          180         ,3800000,2019-12-23,-4,Fastighetsbyrån,150,7,Hamburgö,Tanum,3950000
1125,Skälsbo Fridelund,Villa,          35         ,3100000,2019-12-23,15,Svensk Fastighetsförmedling,110,4,Trollhättan,Trollhättan,2700000
1126,Gamla Riksvägen 52,Villa,,2480000,2019-12-23,-1,Svensk Fastighetsförmedling,92,4,Kållered,Mölndal,2500000
1127,Hästskovägen 2,Villa,          8         ,1875000,2019-12-22,-4,Fastighetsbyrån,164,6,Mariedal,Vänersborg,1950000
1128,Skräddaregården 32,Villa,,3915000,2019-12-22,-43,Fastighetsbyrån,162,6,Torslanda - Björlanda,Göteborg,6875000
1129,Gamla landsvägen 1,Villa,          7         ,2360000,2019-12-21,-6,Fastighetsbyrån,168,6,Landvetter,Härryda,2500000
1130,Broberg 190,Vinterbonat fritidshus,,1850000,2019-12-20,-7,Fastighetsbyrån,67,4,Tjuvkil/Lycke,Kungälv,2000000
1131,Violvägen 6,Villa,,2600000,2019-12-20,-4,Fastighetsbyrån,135,5,Svanesund,Orust,2700000
1132,Björkgatan 10,Villa,,3000000,2019-12-20,4,Svensk Fastighetsförmedling,128,4,Ulricehamn,Ulricehamn,2875000
1133,Nytorpsvägen 6,Villa,          120         ,2550000,2019-12-20,-4,Länsförsäkringar Fastighetsförmedling,120,6,Stenhammar,Lidköping,2650000
1134,Skaravägen 8,Villa,          44         ,2125000,2019-12-20,2,Skara Fastighetsbyrå,215,7,Axvall,Skara,2075000
1135,Stora Skolgatan 35,Villa,          180         ,3700000,2019-12-19,12,Fastighetsbyrån,260,10,Centrala Herrljunga,Herrljunga,3300000
1136,Röra Skogängsväg 20,Villa,          30         ,3650000,2019-12-19,-6,Svensk Fastighetsförmedling,123,4,Kållekärr,Tjörn,3875000
1137,Bergdalen 5,Villa,          20         ,2850000,2019-12-19,16,Länsförsäkringar Fastighetsförmedling,160,6,Herrljunga,Herrljunga,2450000
1138,Hagens väg 8,Villa,,3000000,2019-12-18,7,Fastighetsbyrån,100,5,Sjövik,Lerum,2800000
1139,Tegelbruksvägen 136,Villa,,2475000,2019-12-18,0,Svensk Fastighetsförmedling,150,6,Vänersborg,Vänersborg,2475000
1140,Fältgatan 10,Villa,          70         ,3050000,2019-12-18,-10,SkandiaMäklarna,145,5,Norrmalm,Skövde,3400000
1141,Gösslunda Backatorp 1,Villa,          79         ,2350000,2019-12-17,7,Fastighetsbyrån,120,5,Gösslunda,Lidköping,2200000
1142,Gitarrvägen 2,Villa,          20         ,2500000,2019-12-17,0,Fastighetsbyrån,230,7,Hjo,Hjo,2500000
1143,Oxelvägen 12,Villa,          60         ,2500000,2019-12-17,-7,Svensk Fastighetsförmedling,100,5,Sjuntorp,Trollhättan,2700000
1144,Bergstena Ledsgården 1,Villa,          22         ,4000000,2019-12-17,15,Länsförsäkringar Fastighetsförmedling,128,6,Bergstena,Vårgårda,3475000
1145,Rycka stommen 5,Villa,          26         ,2450000,2019-12-17,36,Svensk Fastighetsförmedling,112,6,Lidköping,Lidköping,1800000
1146,Drejaregatan 5,Villa,,3100000,2019-12-17,-5,Länsförsäkringar Fastighetsförmedling,103,4,Bolltorp,Alingsås,3275000
1147,Gärdhemsvägen 4,Villa,          41         ,2700000,2019-12-16,8,Fastighetsbyrån,102,4,Rävlanda,Härryda,2500000
1148,Gösslunda Villa Holsten 1,Villa,          209         ,3200000,2019-12-16,-2,Fastighetsbyrån,453,18,Gösslunda,Lidköping,3275000
1149,Sigelhultsvägen 6,Villa,          81         ,1950000,2019-12-16,-17,SkandiaMäklarna,83,4,Centrum,Uddevalla,2350000
1150,Dona - Skansvägen 13,Villa,          10         ,3500000,2019-12-16,1,Fastighetsbyrån,132,5,Lysekil,Lysekil,3475000
1151,Norra Kilandavägen 6,Villa,          42         ,2490000,2019-12-16,14,Länsförsäkringar Fastighetsförmedling,68,4,Nödinge,Ale,2175000
1152,Nedergårdsvägen 14,Villa,          81         ,2350000,2019-12-16,0,Svensk Fastighetsförmedling,162,6,Carlsro,Skövde,2350000
1153,Huldrevägen 6,Villa,          91         ,2760000,2019-12-16,21,Länsförsäkringar Fastighetsförmedling,95,5,Mariedal,Vänersborg,2275000
1154,Vara Backa 2,Villa,,2400000,2019-12-16,0,Länsförsäkringar Fastighetsförmedling,210,5,Vara,Vara,2400000
1155,Barrgatan 4,Villa,          123         ,2620000,2019-12-16,34,Länsförsäkringar Fastighetsförmedling,123,5,Herrljunga,Herrljunga,1950000
1156,Kvartsgatan 11,Villa,          116         ,3850000,2019-12-13,11,Fastighetsbyrån,116,7,Tegelbruket,Alingsås,3475000
1157,Hindstigen 4,Villa,          32         ,2050000,2019-12-13,17,Fastighetsbyrån,170,6,Lundby,Hjo,1750000
1158,Ljungbackenvägen 11,Villa,          98         ,3300000,2019-12-13,-8,Svensk Fastighetsförmedling,98,6,Södra,Lerum,3575000
1159,Småstugevägen 9,Villa,          34         ,3900000,2019-12-13,0,Ebad & Partners Fastighetsmäkleri,97,5,Fräntorp,Göteborg,3900000
1160,Åkervägen 11,Villa,          53         ,2760000,2019-12-13,12,ERA,125,5,Dalsjöfors,Borås,2475000
1161,Fredrikshaldsvägen 23,Villa,          88         ,2600000,2019-12-12,4,Fastighetsbyrån,149,4,Centralt,Strömstad,2500000
1162,Konduktörsgatan 6,Villa,,1875000,2019-12-12,0,Fastighetsbyrån,161,7,Nedre Mösseberg,Falköping,1875000
1163,Klintvägen 2,Villa,          84         ,2500000,2019-12-12,4,Fastighetsbyrån,84,4,Skee,Strömstad,2400000
1164,Bäckens gränd 5,Villa,          88         ,1750000,2019-12-12,6,Mäklarhuset,116,5,Töllsjö,Bollebygd,1650000
1165,Odonvägen 2,Villa,          73         ,3800000,2019-12-11,-2,Fastighetsbyrån,73,5,Lindome,Mölndal,3875000
1166,Solskensvägen 7,Villa,,1850000,2019-12-11,6,Svensk Fastighetsförmedling,107,4,Värsås,Skövde,1750000
1167,Banvägen 9,Villa,          27         ,3000000,2019-12-11,8,Svensk Fastighetsförmedling,139,6,Skövde,Skövde,2775000
1168,Rådjursvägen 1,Villa,,2500000,2019-12-11,-12,Mäklarhuset,199,9,Råda,Lidköping,2850000
1169,Österlyckan 25,Villa,          55         ,3800000,2019-12-10,-3,Fastighetsbyrån,56,4,Utby,Göteborg,3925000
1170,Midgårdsgatan 3,Villa,          139         ,2100000,2019-12-10,-11,Fastighetsbyrån,195,8,Kyrkerör,Falköping,2350000
1171,Krakevägen 2,Villa,,2650000,2019-12-10,36,Fastighetsbyrån,155,6,Kålland - Kållandsö,Lidköping,1950000
1172,Morkullevägen 15,Villa,          82         ,2175000,2019-12-10,18,Fastighetsbyrån,112,5,Skultorp,Skövde,1850000
1173,Jättarnas väg 4,Bostadsrättsvilla,,3150000,2019-12-10,5,Länsförsäkringar Fastighetsförmedling,101,4,Älvängen,Ale,3000000
1174,Ornunga Kyrkedal 1,Villa,          123         ,1950000,2019-12-10,5,Länsförsäkringar Fastighetsförmedling,248,6,Vårgårda,Vårgårda,1850000
1175,Arrendegatan 21,Villa,,1900000,2019-12-10,10,Hus & Hem,120,4,Onsjö,Vänersborg,1725000
1176,Ravinvägen 2,Villa,          59         ,3850000,2019-12-09,18,Fastighetsbyrån,108,6,Stockslycke,Alingsås,3275000
1177,Kleva skog 145,Villa,          5         ,2150000,2019-12-09,-4,Fastighetsbyrån,70,4,Höviksnäs,Tjörn,2250000
1178,Legendvägen 36,Villa,,2490000,2019-12-09,0,Bjurfors,90,5,Härryda,Härryda,2500000
1179,Myrvägen 6,Villa,          98         ,2525000,2019-12-08,-13,Askengren Fastighetsmäklare,98,6,Hamburgsund,Tanum,2900000
1180,Hasteröd 135,Friliggande villa,,3650000,2019-12-08,-1,ERA,174,7,Hasteröd,Lilla Edet,3675000
1181,Fjällripevägen 1,Villa,          8         ,1850000,2019-12-07,0,Fastighetsbyrån,115,4,Västra Skogen,Mariestad,1850000
1182,Stillingsön 561,Villa,          8         ,2900000,2019-12-07,-23,Fastighetsbyrån,81,4,Stillingsön,Orust,3775000
1183,Hagarnevägen 16,Villa,          72         ,2500000,2019-12-07,0,Fastighetsbyrån,105,5,Centrum,Uddevalla,2500000
1184,Turkosvägen 2,Villa,          81         ,3100000,2019-12-07,7,Gofab Fastighetsbyrå,114,5,Myggenäs,Tjörn,2900000
1185,Skillinggränd 11,Villa,          90         ,2600000,2019-12-06,0,Svensk Fastighetsförmedling,159,6,Uddevalla,Uddevalla,2600000
1186,Brändamosse 10,Villa,          18         ,3650000,2019-12-06,2,Länsförsäkringar Fastighetsförmedling,119,5,Olofstorp,Göteborg,3575000
1187,Kärrbogata 5,Villa,          53         ,3225000,2019-12-05,8,Fastighetsbyrån,157,7,Hemsjö,Alingsås,2975000
1188,Mosvägen 12,Villa,,3050000,2019-12-05,2,Fastighetsbyrån,168,6,Örby,Mark,3000000
1189,Norra Häcksjöbäcksvägen 4,Villa,          26         ,4000000,2019-12-05,-4,Lundin Fastighetsbyrå,91,4,Lerum,Lerum,4175000
1190,Söderdalsvägen 4,Villa,          122         ,3500000,2019-12-05,30,Svensk Fastighetsförmedling,122,6,Dalsjöfors,Borås,2700000
1191,Ekedalen Skattegården 1,Villa,          148         ,1900000,2019-12-05,6,Svensk Fastighetsförmedling,259,8,Ekedalen,Tidaholm,1800000
1192,Frejgatan 7,Villa,          64         ,2930000,2019-12-05,17,Broberg Mäkleri AB,119,5,Centrala Skara,Skara,2500000
1193,Stockvägen 191,Villa,,2200000,2019-12-05,-7,Mäklarhuset,143,6,Ryd,Skövde,2375000
1194,Korsviken Södra 168,Villa,          70         ,2950000,2019-12-04,9,Fastighetsbyrån,72,5,Ljungskile,Uddevalla,2700000
1195,Bodloftsvägen 4,Villa,,3725000,2019-12-04,-42,Fastighetsbyrån,147.1,6,Torslanda - Björlanda,Göteborg,6425000
1196,Varpgränd 7,Villa,          39         ,3495000,2019-12-04,0,Fastighetsbyrån,132,4,Herrestad/Kissleberg,Uddevalla,3500000
1197,Skjutsvägen 20B,Villa,,3600000,2019-12-04,0,Svensk Fastighetsförmedling,89,4,Nödinge,Ale,3600000
1198,Johns väg 9,Villa,,2495000,2019-12-04,0,Svensk Fastighetsförmedling,121,4,Jörlanda,Stenungsund,2500000
1199,Svarvhultsliden 10,Villa,          50         ,2900000,2019-12-04,1,Länsförsäkringar Fastighetsförmedling,115,5,Sandared,Borås,2875000
1200,Bengtsgården 3,Villa,          100         ,1900000,2019-12-04,12,Svensk Fastighetsförmedling,104,5,Fotskäl,Mark,1700000
1201,Bodloftsvägen 2A,Villa,,3022000,2019-12-03,-48,Fastighetsbyrån,145,6,Torslanda - Björlanda,Göteborg,5800000
1202,Spjutgatan 7,Villa,          18         ,3500000,2019-12-03,19,Fastighetsbyrån,118,4,Ågårdsområdet,Lidköping,2950000
1203,Mariestadsvägen 55,Villa,          87         ,3400000,2019-12-03,7,Svensk Fastighetsförmedling,215,8,Norrmalm,Skövde,3175000
1204,Kungsgatan 11,Villa,          57         ,3350000,2019-12-03,12,HusmanHagberg,123,5,Kungshamn,Sotenäs,3000000
1205,Stekelgatan 13,Villa,          55         ,2850000,2019-12-03,-5,Länsförsäkringar Fastighetsförmedling,160,5,Fasseröd,Uddevalla,3000000
1206,Järpstigen 7,Villa,          42         ,1750000,2019-12-02,-8,Fastighetsbyrån,111,4,Töreboda - Kilenområdet,Töreboda,1900000
1207,Kamgatan 6,Ej specificerad villa,          63         ,3310000,2019-12-02,11,Fastighetsbyrån,63,4,Utby,Göteborg,2975000
1208,Dukagångsgränd 1,Villa,,2895000,2019-12-02,0,Länsförsäkringar Fastighetsförmedling,139,5,Källdal,Uddevalla,2900000
1209,Snödroppsvägen 23,Villa,          88         ,3275000,2019-12-02,22,ERA,148,5,Dalsjöfors,Borås,2675000
1210,Svedjorna 38B,Villa,,3490000,2019-12-01,0,HusmanHagberg,81.2,4,Bollebygd,Bollebygd,3500000
1211,Högvägslyckan 6,Villa,          120         ,2600000,2019-12-01,18,Svensk Fastighetsförmedling,125,5,Ulricehamn,Ulricehamn,2200000
1212,Östra Gröngatan 13,Villa,"          59,5         ",3200000,2019-11-30,0,Fastighetsbyrån,168,8,Centrum,Uddevalla,3200000
1213,Trädgårdsvägen 7,Villa,          16         ,2000000,2019-11-30,18,Fastighetsbyrån,136,5,Henån,Orust,1700000
1214,Sandrevelsvägen 111,Villa,          27         ,4000000,2019-11-30,7,Erik Olsson Fastighetsförmedling,126,6,Skogome,Göteborg,3750000
1215,Persbergsvägen 10,Villa,          18         ,3100000,2019-11-30,13,Länsförsäkringar Fastighetsförmedling,166,7,Våmb,Skövde,2750000
1216,Tuvebergsvägen 5,Villa,          75         ,3150000,2019-11-29,15,Fastighetsbyrån,96,5,Tuvebo,Alingsås,2750000
1217,Svanvik 147,Vinterbonat fritidshus,          40         ,2340000,2019-11-29,-5,Fastighetsbyrån,87,5,Varekil,Orust,2475000
1218,Höstbruksvägen 2,Villa,,1950000,2019-11-29,-1,Fastighetsbyrån,132,6,Skaraberg,Skara,1975000
1219,Björboliden 7,Villa,,3800000,2019-11-29,-4,Fastighetsbyrån,126,5,Björboholm,Lerum,3950000
1220,Ödegärdet 107,Villa,          40         ,2675000,2019-11-29,-4,Fastighetsbyrån,134,5,Västerlanda,Lilla Edet,2775000
1221,Dalstigen 1,Villa,          88         ,2495000,2019-11-29,0,Svensk Fastighetsförmedling,105,5,Äsperöd,Uddevalla,2500000
1222,Stångevägen 3A,Villa,,3800000,2019-11-29,9,Svensk Fastighetsförmedling,91,5,Uddevalla,Uddevalla,3475000
1223,Lekstorpsvägen 54B,Villa,,2650000,2019-11-29,6,Svensk Fastighetsförmedling,109,4,Lekstorp,Lerum,2500000
1224,Branåsvägen 8,Villa,          110         ,3475000,2019-11-29,17,Mäklarhuset,108,6,Strömslund,Trollhättan,2975000
1225,Mjölnarevägen 2,Villa,,2500000,2019-11-29,-7,Mäklarhuset,128,4,Fjället,Skövde,2700000
1226,Stakebergsvägen 122,Villa,,3400000,2019-11-28,-1,Fastighetsbyrån,138,5,Stenkullen,Lerum,3425000
1227,Forshälla Strand 256,Villa,          26         ,3330000,2019-11-28,19,Fastighetsbyrån,119,6,Ljungskile,Uddevalla,2800000
1228,Stenlidsvägen 2,Villa,          5         ,2400000,2019-11-28,45,Fastighetsbyrån,88,4,Lygnö,Alingsås,1650000
1229,Väpplingstigen 3A,Villa,          26         ,2100000,2019-11-28,-8,Fastighetsbyrån,145,5,Trandared,Borås,2275000
1230,Dammtorpsgatan 30,Villa,          10         ,3350000,2019-11-28,6,Svensk Fastighetsförmedling,117,4,Alingsås,Alingsås,3150000
1231,Andra Vallåsgatan 4,Villa,          50         ,1925000,2019-11-28,4,Fastighetsbyrån,150,8,Kinna/Vallås-Hede,Mark,1850000
1232,Trädgårdsvägen 29,Villa,          57         ,3900000,2019-11-28,11,Svensk Fastighetsförmedling,107,5,Surte,Ale,3525000
1233,Kapellevägen 68,Villa,          63         ,3100000,2019-11-28,7,Bostadsbutiken,120,5,Uddevalla,Uddevalla,2900000
1234,Trädgårdsvägen 44,Villa,,2300000,2019-11-28,-7,Svensk Fastighetsförmedling,160,4,Trollhättan,Trollhättan,2475000
1235,Häggatan 10,Villa,          72         ,3050000,2019-11-28,15,Svensk Fastighetsförmedling,174,6,Brämhult,Borås,2650000
1236,Skräddaregårdsvägen 56,Villa,          128         ,3450000,2019-11-28,0,Mäklarhuset,103,8,Erikstorp,Bollebygd,3450000
1237,Odalvägen 23,Villa,          70         ,3250000,2019-11-28,10,ERA,122,6,Skepplanda,Ale,2950000
1238,Nilsbyn Björkhaga,Villa,          54         ,1775000,2019-11-28,18,Flinks Fastighetsförmedling,90,5,Tisselskog,Bengtsfors,1500000
1239,Dragspelsvägen 1,Villa,,2500000,2019-11-27,27,Fastighetsbyrån,145,5,Radbyn,Mariestad,1975000
1240,Krokusvägen 19,Villa,          10         ,3025000,2019-11-27,21,Fastighetsbyrån,118,6,Dalsjöfors,Borås,2500000
1241,Snickaregatan 2,Villa,          112         ,1900000,2019-11-27,0,Fastighetsbyrån,97,4,Dalsjöfors,Borås,1900000
1242,Tallvägen 7,Villa,          95         ,3310000,2019-11-27,28,Fastighetsbyrån,165.5,6,Vargön,Vänersborg,2575000
1243,Rudbecksgatan 5,Villa,          64         ,2395000,2019-11-27,0,Svensk Fastighetsförmedling,141,4,Tidaholm,Tidaholm,2400000
1244,Svanvik 120,Villa,          68         ,2450000,2019-11-27,12,Erik Olsson Fastighetsförmedling,117,4,Varekil,Orust,2200000
1245,Stensoppevägen 23,Villa,          119         ,3450000,2019-11-27,6,Mäklarhuset,127,5,Eriksro,Trollhättan,3250000
1246,Kvartsvägen 9,Villa,,1900000,2019-11-26,-3,Fastighetsbyrån,141,6,Högelid,Mariestad,1950000
1247,Vilske-Kleva Ljunghem,Villa,,2200000,2019-11-26,16,Fastighetsbyrån,175,6,Vilske-Kleva,Falköping,1900000
1248,Skattegårdsvägen 18,Villa,          40         ,2520000,2019-11-26,20,Svensk Fastighetsförmedling,134,5,Källby,Götene,2100000
1249,Frisimsvägen 7,Villa,,3950000,2019-11-26,4,Bostadsbutiken,120,4,Misteröd,Uddevalla,3800000
1250,Rapsvivelvägen 29,Villa,,3725000,2019-11-26,0,Gofab Fastighetsbyrå,148,7,Kyrkenorum,Stenungsund,3725000
1251,Källiden 5,Villa,          159         ,2650000,2019-11-26,0,Broberg Mäkleri AB,110,4,Centrala Skara,Skara,2650000
1252,Övre Kammarbergsvägen 3,Villa,          100         ,2195000,2019-11-25,0,Fastighetsbyrån,107,5,Kinna/Kammarberg,Mark,2200000
1253,Knavravägen 26,Villa,          57         ,3050000,2019-11-25,18,Fastighetsbyrån,94,4,Stenkullen,Lerum,2575000
1254,Solgatan 1,Villa,          32         ,3700000,2019-11-25,0,Svensk Fastighetsförmedling,168,6,Trollhättan,Trollhättan,3700000
1255,Döbelnsgatan 54,Villa,          53         ,2900000,2019-11-25,-2,Fastighetsbyrån,102,4,Norrmalm,Borås,2950000
1256,Dalaängsvägen 19,Villa,,4000000,2019-11-25,-7,Fastighetsbyrån,133,5,Ljungskile,Uddevalla,4300000
1257,Kyrkbyn Prästgården 1,Villa,          98         ,3800000,2019-11-25,27,Erik Olsson Fastighetsförmedling,303,12,Mark,Mark,3000000
1258,Madkullegatan 17,Villa,          96         ,3240000,2019-11-25,10,Lisenstedt Fastighetsförmedling AB,123,6,Skoftebyn,Trollhättan,2950000
1259,Lyavägen 28,Villa,          20         ,2665000,2019-11-25,11,Svensk Fastighetsförmedling,126,5,Berg Östra,Lilla Edet,2400000
1260,Vässby Nordlid 4,Villa,,1950000,2019-11-25,-2,HusmanHagberg,104,4,Strömstad,Strömstad,2000000
1261,Fjällbruden 252,Villa,          48         ,3125000,2019-11-24,-1,Fastighetsbyrån,120,4,Rannebergen,Göteborg,3150000
1262,Raneredsvägen 49,Villa,,4000000,2019-11-24,0,Fastighetsbyrån,144,6,Lindome | Ranered,Mölndal,4000000
1263,Hantverkaregatan 25,Villa,          63         ,1795000,2019-11-23,0,Svensk Fastighetsförmedling,106,5,Centralt,Lilla Edet,1800000
1264,Höggårdsvägen 20,Villa,          44         ,3750000,2019-11-22,8,Fastighetsbyrån,120,4,Gråbo,Lerum,3475000
1265,Holmåkravägen 12L,Villa,,3525000,2019-11-22,7,Fastighetsbyrån,113,4,Lindome | Gastorp,Mölndal,3300000
1266,Olsåker 200,Villa,          156         ,3600000,2019-11-22,20,Fastighetsbyrån,106,6,Kareby,Kungälv,3000000
1267,Fasanvägen 5,Villa,,2310000,2019-11-22,16,Fastighetsbyrån,136,4,Västra sidan,Mariestad,2000000
1268,Timmermansgatan 16,Villa,          114         ,4000000,2019-11-22,34,Svensk Fastighetsförmedling,236,9,Uddevalla,Uddevalla,2975000
1269,Lagläsaregatan 22,Villa,          60         ,3200000,2019-11-22,0,Länsförsäkringar Fastighetsförmedling,101,4,Norrmalm,Skövde,3200000
1270,Trumpetvägen 7,Villa,          82         ,2050000,2019-11-22,-2,Svensk Fastighetsförmedling,110,6,Skultorp,Skövde,2100000
1271,Skeppningsgatan 15,Villa,          70         ,1760000,2019-11-22,2,ERA,70,4,Göta,Lilla Edet,1725000
1272,Vasagatan 3,Villa,          79         ,2950000,2019-11-22,1,Skara Fastighetsbyrå,202,8,Skara,Skara,2925000
