,adress,house_type,biarea_msq,sold_price_kr,date_sold,price_diff_%,agent,size_msq,rooms,omrade,kommun,utgangspris_kr
65,Lättorp 3,Villa,          62         ,2270000,2020-06-17,-9,Svensk Fastighetsförmedling,148,7,Herrljunga,Herrljunga,2500000
66,Lundaskogsvägen 4,Villa,          60         ,2870000,2020-06-17,-4,Svensk Fastighetsförmedling,150,7,Borås,Borås,3000000
67,Majorsvägen 16,Villa,          40         ,3500000,2020-06-17,13,Hus & Hem,130,5,Velanda,Trollhättan,3100000
68,Allmänna vägen 18,Villa,          94         ,3750000,2020-06-17,22,Mäklarhuset,94,6,Sjömarken,Borås,3075000
69,Gökstigen 27,Villa,          57         ,1800000,2020-06-17,-5,Mäklarhuset,121,5,Timmersdala,Skövde,1900000
70,Floravägen 7D,Villa,,3750000,2020-06-16,0,Fastighetsbyrån,119,5,Mölndal,Mölndal,3750000
71,Sandviken 113,Villa,,3900000,2020-06-16,8,Fastighetsbyrån,88,4,Hakenäset,Tjörn,3600000
72,Parkgatan 14,Villa,          13         ,3700000,2020-06-16,6,Fastighetsbyrån,123,4,Skärhamn,Tjörn,3500000
73,Ödlestigen 10,Villa,          54         ,2725000,2020-06-16,24,Fastighetsbyrån,122,4,Uddevalla,Uddevalla,2200000
74,Betesvägen 4,Villa,          2         ,3700000,2020-06-16,-1,Fastighetsbyrån,149,6,Gråbo - Centralt,Lerum,3725000
75,Högstorpsvägen 17,Villa,          76         ,3200000,2020-06-16,11,Fastighetsbyrån,215,8,Högstorp,Lilla Edet,2875000
76,Hasteröd 135,Villa,,3450000,2020-06-16,-4,Svensk Fastighetsförmedling,174,5,Lilla Edet,Lilla Edet,3600000
77,Drögvägen 6,Villa,          26         ,2650000,2020-06-16,0,Svensk Fastighetsförmedling,113,5,Hjällsnäs,Lerum,2650000
78,Ryssbyhöjdsvägen 2,Villa,          67         ,2500000,2020-06-16,9,Svensk Fastighetsförmedling,105,4,Hestra/Ryssby,Borås,2300000
79,Berg 543,Villa,          4         ,2850000,2020-06-16,2,Hus & Hem,184,5,Frändefors - Ris,Vänersborg,2800000
80,S:ta Birgittas gata 4,Villa,          60         ,2825000,2020-06-15,9,Fastighetsbyrån,118,4,Lödöse,Lilla Edet,2600000
81,Borgmästarevägen 16,Villa,          70         ,2025000,2020-06-15,-6,Fastighetsbyrån,138,6,Centrum,Falköping,2150000
82,Nygård 224,Villa,          41         ,2950000,2020-06-15,48,Fastighetsbyrån,99,4,Västra Tunhem,Vänersborg,2000000
83,Syréngatan 25,Villa,          96         ,3295000,2020-06-15,0,Länsförsäkringar Fastighetsförmedling,102,6,Brämhult,Borås,3300000
84,Törresröd 103,Villa,,2250000,2020-06-15,-6,Svensk Fastighetsförmedling,135,4,Törresröd,Lilla Edet,2400000
85,Ödsmål 360,Villa,          66         ,3840000,2020-06-15,4,Svensk Fastighetsförmedling,105,5,Rörtången,Kungälv,3700000
86,Hedagärdsvägen 8,Villa,          104         ,2460000,2020-06-15,9,Mäklarhuset,79,6,Fristad,Borås,2250000
87,Lillåsavägen 23,Villa,          68         ,2700000,2020-06-15,8,ERA,155,5,Viskafors,Borås,2500000
88,Finkgatan 17,Villa,          108         ,2805000,2020-06-15,22,ERA,108,4,Brämhult,Borås,2300000
89,Iglabranten 10,Villa,,3345000,2020-06-14,2,Fastighetsbyrån,103,5,Olofstorp,Göteborg,3275000
90,Smyckevägen 11,Villa,,3450000,2020-06-14,8,HusmanHagberg,162,6,Ulveket,Skövde,3200000
91,Fornängsgatan 15,Villa,          54         ,2900000,2020-06-14,2,Fastighetsbyrån,108,5,Ulricehamn,Ulricehamn,2850000
92,Tå Västergården 12,Gård,          97         ,3750000,2020-06-14,15,Länsförsäkringar Fastighetsförmedling,158,6,Sandhult,Borås,3250000
93,Ramsjödal 190,Villa,          20         ,2810000,2020-06-14,17,ERA,72,4,Ale,Ale,2400000
94,Holmens väg 47,Villa,          6         ,3625000,2020-06-13,10,Fastighetsbyrån,178,5,Gånghester,Borås,3300000
95,Justinbacken 5,Vinterbonat fritidshus,          101         ,2550000,2020-06-13,-6,Askengren Fastighetsmäklare,81,4,Resö,Tanum,2725000
96,Tallbacka 1,Villa,          45         ,2500000,2020-06-13,9,Svensk Fastighetsförmedling,169,6,Götene,Götene,2300000
97,Husarvägen 7,Villa,          39         ,3750000,2020-06-13,1,Mäklarhuset,148,6,Velanda,Trollhättan,3725000
98,Björnängsvägen 17,Villa,          20         ,2180000,2020-06-13,-1,Mäklarhuset,51,4,Daftö,Strömstad,2200000
99,Lidköpingsvägen 47,Villa,          101         ,2395000,2020-06-12,-8,Fastighetsbyrån,258,7,Götene Tätort,Götene,2600000
100,Värmlandsgatan 32,Villa,          35         ,3300000,2020-06-12,3,Fastighetsbyrån,123,5,Dammtorpet,Alingsås,3200000
101,Skarstad Skatofta 1,Villa,          5         ,1900000,2020-06-12,12,Fastighetsbyrån,150,6,Vara,Vara,1700000
102,Kryddhyllan 47,Villa,          8         ,3605000,2020-06-12,3,Fastighetsbyrån,96,4,Angered - sten,Göteborg,3500000
103,Melldala Harpsund,Villa,,4000000,2020-06-12,0,Fastighetsbyrån,99,4,Melldala,Skövde,4000000
104,Steinorts väg 2,Villa,,2995000,2020-06-12,0,Svensk Fastighetsförmedling,124,4,Svanesund,Orust,3000000
105,Silverbergsvägen 3,Villa,          70         ,3150000,2020-06-12,0,Svensk Fastighetsförmedling,90,5,Närsbo,Alingsås,3150000
106,Klövergången 6,Villa,,3460000,2020-06-12,2,Länsförsäkringar Fastighetsförmedling,120,5,Centralt,Kungälv,3400000
107,Husviksvägen 99,Villa,,3200000,2020-06-12,16,Skärgårdsmäklaren i Göteborg,6,,Södra Skärgården - Brännö,Göteborg,2750000
108,Vårbruksvägen 13,Villa,          34         ,2525000,2020-06-12,-5,Broberg Mäkleri AB,141,4,Skaraberg,Skara,2650000
109,Linvägen 2,Bostadsrättsvilla,,3570000,2020-06-11,15,Fastighetsbyrån,96,5,Lindome | Gastorp,Mölndal,3100000
110,Stora Älsjövägen 22,Villa,,3510000,2020-06-11,10,Länsförsäkringar Fastighetsförmedling,106,4,Olofstorp,Göteborg,3200000
111,Rydsvägen 35,Villa,          121         ,2660000,2020-06-11,13,Länsförsäkringar Fastighetsförmedling,99,5,Gånghester,Borås,2350000
112,Tallbacken 1,Gård,          81         ,3900000,2020-06-11,11,Svensk Fastighetsförmedling,139,10,Kämpersvik,Tanum,3525000
113,Föreningsgatan 21,Villa,          45         ,2900000,2020-06-11,-3,Svensk Fastighetsförmedling,126,5,Centralt,Uddevalla,3000000
114,Kaprifolvägen 6,Villa,          155         ,3500000,2020-06-11,21,SkandiaMäklarna,104,6,Skövde,Skövde,2900000
115,Segloravägen 46,Villa,          65         ,2000000,2020-06-11,19,Länsförsäkringar Fastighetsförmedling,130,4,Fritsla,Mark,1675000
116,Ärilsgatan 25,Ej specificerad villa,          16         ,2850000,2020-06-11,-5,Svensk Fastighetsförmedling,128,6,Borås,Borås,3000000
117,Lindvägen 9,Villa,          83         ,2520000,2020-06-11,3,ERA,130,6,Lödöse,Lilla Edet,2450000
118,Almgatan 13,Villa,          74         ,3025000,2020-06-11,8,ERA,114,5,Brämhult,Borås,2800000
119,Bruksvägen 5,Villa,          30         ,2000000,2020-06-11,-9,Hus & Hem,102,5,Mariedal/Kassaretorpet,Vänersborg,2200000
120,Västra Röd 390,Villa,          25         ,3295000,2020-06-10,0,Fastighetsbyrån,123,5,Kärna,Kungälv,3300000
121,Utby 264,Villa,          11         ,3600000,2020-06-10,26,Fastighetsbyrån,155,6,Lilla Edet,Lilla Edet,2850000
122,Ullasjö Stommen 1,Villa,,2550000,2020-06-10,-5,Fastighetsbyrån,270,7,Svenljunga,Svenljunga,2675000
123,Ängsbacken,Gård,          56         ,3600000,2020-06-10,6,Svensk Fastighetsförmedling,112,5,Vårgårda,Vårgårda,3400000
124,Maabackevägen 1,Vinterbonat fritidshus,,2500000,2020-06-10,14,Länsförsäkringar Fastighetsförmedling,87,4,Hällestrand,Strömstad,2200000
